Most Common Surnames,,,,,,,
,,,,,,,
"Surnames occurring most often in Scotland's registers of Births, Marriages and Deaths",,,,,,,
,,,,,,,
Counting only:,,,,,,,
(a)  the surname of the CHILD for births,,,,,,,
"(b)  the surnames of BOTH PARTIES (e.g. both BRIDE and GROOM) for marriages, and ",,,,,,,
(c)  the surname of the DECEASED for deaths.,,,,,,,
,,,,,,,
"Note: the surnames from these registers may not be representative of the surnames of the population of Scotland as a whole, as ",,,,,,,
(a) they include the surnames of non-residents who were born / married / died here; ,,,,,,,
(b) they exclude the surnames of residents who were born / married / died elsewhere; and ,,,,,,,
"(c) some age-groups have very low birth, marriage and death rates; others account for most births, marriages and deaths. ",,,,,,,
,,,,,,,
Registration Year = 2019,,,,,,,
,,,,,,,
Position,Surname,Number,,,,,
302=,LAMB,90,,,,,
302=,MCDOWALL,90,,,,,
302=,WILKIE,90,,,,,
305=,CASSIDY,89,,,,,
305=,GILLIES,89,,,,,
305=,LOVE,89,,,,,
305=,PEARSON,89,,,,,
305=,PETRIE,89,,,,,
305=,RODGER,89,,,,,
311=,MOIR,88,,,,,
311=,ROONEY,88,,,,,
311=,SHEARER,88,,,,,
314=,CARROLL,87,,,,,
314=,ELLIOTT,87,,,,,
314=,FITZPATRICK,87,,,,,
314=,HARDIE,87,,,,,
314=,HUSSAIN,87,,,,,
314=,MACMILLAN,87,,,,,
314=,SWAN,87,,,,,
321=,BAKER,86,,,,,
321=,DOYLE,86,,,,,
321=,MACGREGOR,86,,,,,
321=,MACRAE,86,,,,,
325=,FULTON,85,,,,,
325=,MOONEY,85,,,,,
327=,CALDER,84,,,,,
327=,LAMONT,84,,,,,
329=,GILL,83,,,,,
329=,HANNAH,83,,,,,
329=,MALCOLM,83,,,,,
332=,CONNOR,82,,,,,
332=,ROSE,82,,,,,
334=,BARNES,81,,,,,
334=,FOSTER,81,,,,,
334=,GRIEVE,81,,,,,
334=,MCCONNELL,81,,,,,
334=,MCLELLAN,81,,,,,
339=,HOLMES,80,,,,,
339=,KAY,80,,,,,
339=,LIVINGSTONE,80,,,,,
339=,SMART,80,,,,,
339=,WADDELL,80,,,,,
339=,WEST,80,,,,,
345=,PALMER,79,,,,,
345=,RYAN,79,,,,,
347=,BRENNAN,78,,,,,
347=,EASTON,78,,,,,
347=,FARRELL,78,,,,,
347=,HENRY,78,,,,,
347=,MCCOLL,78,,,,,
347=,MCKINNON,78,,,,,
347=,MCLACHLAN,78,,,,,
347=,MORAN,78,,,,,
347=,OLIVER,78,,,,,
356=,CALLAGHAN,77,,,,,
356=,CARTER,77,,,,,
356=,GALBRAITH,77,,,,,
356=,MCCAFFERTY,77,,,,,
360=,CALDWELL,76,,,,,
360=,COYLE,76,,,,,
360=,GILCHRIST,76,,,,,
360=,MENZIES,76,,,,,
360=,SIM,76,,,,,
360=,WILKINSON,76,,,,,
366=,JENKINS,75,,,,,
366=,KIDD,75,,,,,
368=,BEVERIDGE,74,,,,,
368=,FLYNN,74,,,,,
368=,FOX,74,,,,,
368=,LOWE,74,,,,,
368=,PRICE,74,,,,,
373=,CARSON,73,,,,,
373=,CULLEN,73,,,,,
373=,FINLAYSON,73,,,,,
373=,HOOD,73,,,,,
373=,MANN,73,,,,,
373=,MANSON,73,,,,,
373=,NEIL,73,,,,,
380=,BRADY,72,,,,,
380=,BYRNE,72,,,,,
380=,MCNEIL,72,,,,,
380=,O'CONNOR,72,,,,,
384=,ARCHIBALD,71,,,,,
384=,BRODIE,71,,,,,
384=,CARMICHAEL,71,,,,,
384=,CURRAN,71,,,,,
384=,DUNBAR,71,,,,,
384=,FLETCHER,71,,,,,
384=,HALLIDAY,71,,,,,
384=,JAMES,71,,,,,
384=,KEENAN,71,,,,,
384=,MATHESON,71,,,,,
384=,MCCLUSKEY,71,,,,,
395=,AITCHISON,70,,,,,
395=,HUME,70,,,,,
395=,MELVILLE,70,,,,,
395=,ROBSON,70,,,,,
399=,BRYCE,69,,,,,
399=,CONNOLLY,69,,,,,
399=,EDGAR,69,,,,,
399=,FORD,69,,,,,
399=,LEITCH,69,,,,,
399=,MACLENNAN,69,,,,,
399=,MIDDLETON,69,,,,,
399=,PENMAN,69,,,,,
407=,ANDREWS,68,,,,,
407=,KNIGHT,68,,,,,
407=,PIRIE,68,,,,,
410=,BALLANTYNE,67,,,,,
410=,BREMNER,67,,,,,
410=,BRYSON,67,,,,,
410=,BURKE,67,,,,,
410=,FREW,67,,,,,
410=,HUTTON,67,,,,,
410=,LAWRIE,67,,,,,
410=,NICOLL,67,,,,,
410=,PAUL,67,,,,,
410=,WYLIE,67,,,,,
420=,BURGESS,66,,,,,
420=,HEPBURN,66,,,,,
420=,MACINNES,66,,,,,
423=,BANKS,65,,,,,
423=,BEATON,65,,,,,
423=,BERRY,65,,,,,
423=,LAWRENCE,65,,,,,
423=,MACIVER,65,,,,,
423=,MATHIESON,65,,,,,
429=,COUTTS,64,,,,,
429=,MCINNES,64,,,,,
429=,MCQUEEN,64,,,,,
429=,MONAGHAN,64,,,,,
429=,NISBET,64,,,,,
429=,SLOAN,64,,,,,
435=,ARTHUR,63,,,,,
435=,ELDER,63,,,,,
435=,GEMMELL,63,,,,,
435=,GUTHRIE,63,,,,,
435=,KAUR,63,,,,,
435=,MACAULAY,63,,,,,
435=,WALSH,63,,,,,
442=,BARRETT,62,,,,,
442=,BOOTH,62,,,,,
442=,FINLAY,62,,,,,
442=,FRAME,62,,,,,
442=,LAFFERTY,62,,,,,
442=,MCMANUS,62,,,,,
