Id,Name,Type,Rate,Total,Order
379,Jordyn,F,1714,1689168,218
380,Enzo,M,1710,1690878,186
381,Esther,F,1708,1692586,474
382,Luka,M,1700,1694286,384
383,Genevieve,F,1699,1695985,282
384,Andres,M,1698,1697683,870
385,Marcus,M,1694,1699377,472
386,Harmony,F,1693,1701070,807
387,Annabelle,F,1688,1702758,478
388,Alyssa,F,1682,1704440,580
389,Felix,M,1680,1706120,245
390,Mark,M,1678,1707798,632
391,Ariel,F,1674,1709472,487
392,Ace,M,1666,1711138,824
393,Aliyah,F,1666,1712804,190
394,Brantley,M,1658,1714462,118
395,Londyn,F,1655,1716117,148
396,Atlas,M,1649,1717766,728
397,Juliana,F,1645,1719411,742
398,Remington,M,1645,1721056,739
399,Morgan,F,1642,1722698,511
400,Maximus,M,1637,1724335,159
401,Matias,M,1634,1725969,669
402,Summer,F,1630,1727599,47
403,Juliette,F,1627,1729226,121
404,Trinity,F,1627,1730853,864
405,Walker,M,1627,1732480,764
406,Callie,F,1622,1734102,652
407,Kyrie,M,1616,1735718,326
408,Sienna,F,1614,1737332,596
409,Griffin,M,1612,1738944,331
410,Kenneth,M,1611,1740555,244
411,Blakely,F,1607,1742162,645
412,Israel,M,1604,1743766,940
413,Javier,M,1601,1745367,529
414,Kyler,M,1599,1746966,717
415,Alaia,F,1597,1748563,681
416,Kayla,F,1597,1750160,492
417,Jax,M,1591,1751751,356
418,Teagan,F,1589,1753340,510
419,Amari,M,1584,1754924,446
420,Zane,M,1576,1756500,490
421,Alaina,F,1573,1758073,139
422,Brynlee,F,1570,1759643,662
423,Emilio,M,1570,1761213,584
424,Finley,F,1563,1762776,912
425,Catalina,F,1556,1764332,499
426,Knox,M,1552,1765884,463
427,Sloane,F,1543,1767427,258
428,Adonis,M,1537,1768964,108
429,Aidan,M,1535,1770499,856
430,Rachel,F,1529,1772028,267
431,Lilly,F,1528,1773556,335
432,Ember,F,1527,1775083,855
433,Kimberly,F,1527,1776610,132
434,Juniper,F,1526,1778136,579
435,Sydney,F,1525,1779661,842
436,Arabella,F,1522,1781183,38
437,Kaden,M,1522,1782705,33
438,Gemma,F,1519,1784224,786
439,Jocelyn,F,1515,1785739,427
440,Freya,F,1509,1787248,382
441,June,F,1505,1788753,57
442,Lauren,F,1505,1790258,40
443,Paul,M,1495,1791753,354
444,Omar,M,1479,1793232,637
445,Amy,F,1471,1794703,524
446,Presley,F,1470,1796173,336
447,Georgia,F,1467,1797640,274
448,Journee,F,1467,1799107,255
449,Brian,M,1465,1800572,942
450,Elise,F,1463,1802035,644
451,Louis,M,1463,1803498,539
452,Rosalie,F,1460,1804958,393
453,Ada,F,1459,1806417,961
454,Caden,M,1458,1807875,882
455,Maximiliano,M,1451,1809326,960
456,Holden,M,1450,1810776,407
457,Laila,F,1449,1812225,206
458,Paxton,M,1437,1813662,535
459,Nash,M,1434,1815096,114
460,Bradley,M,1431,1816527,617
461,Brooke,F,1431,1817958,572
462,Diana,F,1429,1819387,740
463,Olive,F,1423,1820810,925
464,Bryan,M,1418,1822228,5
465,Payton,F,1417,1823645,531
466,Ariella,F,1415,1825060,164
467,Daniela,F,1404,1826464,911
468,Simon,M,1404,1827868,872
469,Phoenix,M,1399,1829267,405
470,Lane,M,1398,1830665,23
471,Raegan,F,1398,1832063,976
472,Josue,M,1397,1833460,183
473,Alayna,F,1388,1834848,755
474,Gracie,F,1388,1836236,93
475,Mya,F,1388,1837624,144
476,Colin,M,1386,1839010,224
477,Noelle,F,1383,1840393,964
478,Ana,F,1381,1841774,96
479,Rafael,M,1381,1843155,712
480,Leila,F,1379,1844534,383
481,Kyle,M,1374,1845908,778
482,Paige,F,1364,1847272,558
483,Lila,F,1363,1848635,306
484,Jorge,M,1357,1849992,458
485,Beckham,M,1356,1851348,1
486,Cayden,M,1356,1852704,50
487,Nicole,F,1355,1854059,770
488,Jaden,M,1349,1855408,757
489,Hope,F,1340,1856748,816
490,Ruth,F,1335,1858083,817
491,Ronan,M,1334,1859417,63
492,Alana,F,1332,1860749,424
493,Selena,F,1325,1862074,887
494,Marley,F,1321,1863395,423
495,Kamila,F,1319,1864714,434
496,Alexis,F,1318,1866032,609
497,Karson,M,1317,1867349,694
498,Mckenzie,F,1317,1868666,552
499,Zara,F,1316,1869982,3
500,Arlo,M,1310,1871292,105
501,Millie,F,1307,1872599,889
502,Magnolia,F,1306,1873905,449
503,Tobias,M,1306,1875211,428
504,Kali,F,1305,1876516,343
505,Kehlani,F,1305,1877821,290
506,Brady,M,1300,1879121,264
507,Catherine,F,1299,1880420,443
508,Clayton,M,1297,1881717,701
509,Maeve,F,1292,1883009,514
510,Francisco,M,1290,1884299,890
511,Adelyn,F,1289,1885588,337
512,Elsie,F,1283,1886871,120
513,Lola,F,1283,1888154,314
514,Jayla,F,1281,1889435,212
515,Zander,M,1281,1890716,372
516,Erick,M,1279,1891995,502
517,Adriana,F,1277,1893272,603
518,Journey,F,1277,1894549,869
519,Vera,F,1276,1895825,232
520,Aspen,F,1275,1897100,748
521,Walter,M,1275,1898375,736
522,Joanna,F,1271,1899646,957
523,Daxton,M,1269,1900915,686
524,Alivia,F,1268,1902183,81
525,Angela,F,1266,1903449,395
526,Dakota,F,1264,1904713,61
527,Camille,F,1263,1905976,922
528,Nyla,F,1263,1907239,862
529,Tessa,F,1262,1908501,243
530,Brooklynn,F,1256,1909757,170
531,Malia,F,1256,1911013,304
532,Cash,M,1253,1912266,307
533,Makayla,F,1248,1913514,998
534,Rebecca,F,1246,1914760,54
535,Fiona,F,1245,1916005,631
536,Mariana,F,1244,1917249,788
537,Martin,M,1244,1918493,116
538,Lena,F,1236,1919729,350
539,Damien,M,1233,1920962,182
540,Julianna,F,1231,1922193,7
541,Dallas,M,1222,1923415,90
542,Vanessa,F,1221,1924636,473
543,Juliet,F,1220,1925856,488
544,Camilla,F,1216,1927072,944
545,Kendall,F,1212,1928284,688
546,Harley,F,1211,1929495,526
547,Cali,F,1208,1930703,286
548,Evangeline,F,1208,1931911,933
549,Cody,M,1203,1933114,768
550,Chance,M,1197,1934311,950
551,Jensen,M,1192,1935503,438
552,Jett,M,1188,1936691,259
553,Mariah,F,1180,1937871,309
554,Jane,F,1179,1939050,541
555,Zuri,F,1179,1940229,191
556,Corbin,M,1178,1941407,205
557,Kash,M,1176,1942583,689
558,Reid,M,1176,1943759,310
559,Kameron,M,1173,1944932,613
560,Andre,M,1171,1946103,924
561,Elaina,F,1167,1947270,826
562,Gunner,M,1166,1948436,10
563,Jake,M,1166,1949602,498
564,Sage,F,1164,1950766,932
565,Amira,F,1160,1951926,544
566,Adaline,F,1159,1953085,95
567,Hayes,M,1158,1954243,98
568,Lia,F,1157,1955400,708
569,Charlee,F,1156,1956556,773
570,Delaney,F,1152,1957708,858
571,Lilah,F,1150,1958858,289
572,Miriam,F,1150,1960008,470
573,Angelina,F,1145,1961153,73
574,Mckenna,F,1144,1962297,133
575,Manuel,M,1142,1963439,9
576,Prince,M,1141,1964580,316
577,Aniyah,F,1140,1965720,971
578,Phoebe,F,1139,1966859,675
579,Michelle,F,1137,1967996,239
580,Thea,F,1137,1969133,931
581,Bodhi,M,1126,1970259,814
582,Cohen,M,1124,1971383,760
583,Maggie,F,1124,1972507,741
